Иванов Иван
2022-12-12, true
2022-12-13, true
2022-12-14, true
2022-12-15, false
2022-12-16, true
2022-12-18, false
2022-12-19, true
2022-12-20, false
2022-12-21, true

Сидоров Яков
2022-12-12, true
2022-12-13, true
2022-12-14, true
2022-12-15, true
2022-12-16, true
2022-12-18, false
2022-12-19, true
2022-12-20, true
2022-12-21, true

Пирожков Артур
2022-12-12, true
2022-12-13, false
2022-12-14, false
2022-12-15, false
2022-12-16, false
2022-12-18, false
2022-12-19, true
2022-12-20, false
2022-12-21, false

Карлов Степан
2022-12-12, false
2022-12-13, true
2022-12-14, false
2022-12-15, true
2022-12-16, true
2022-12-18, false
2022-12-19, true
2022-12-20, false
2022-12-21, true

Степанова Вероника
2022-12-12, true
2022-12-13, true
2022-12-14, true
2022-12-15, true
2022-12-16, true
2022-12-18, true
2022-12-19, true
2022-12-20, true
2022-12-21, true

Двойкин Семён
2022-12-12, false
2022-12-13, false
2022-12-14, false
2022-12-15, false
2022-12-16, false
2022-12-18, false
2022-12-19, true
2022-12-20, false
2022-12-21, false
